Instance,Terminal,Layer,X location,Y location,Voltage
hold18,VGND,li1,46.4600,65.2800,0.000225
hold17,VGND,li1,69.9200,32.6400,0.000436
hold16,VGND,li1,37.7200,70.7200,0.000211
hold15,VGND,li1,36.8000,10.8800,0.000028
hold14,VGND,li1,55.6600,21.7600,0.000090
hold13,VGND,li1,61.6400,27.2000,0.000269
hold12,VGND,li1,24.8400,38.0800,0.000123
hold11,VGND,li1,50.6000,16.3200,0.000132
hold10,VGND,li1,18.4000,65.2800,0.000130
hold9,VGND,li1,46.4600,10.8800,0.000038
hold8,VGND,li1,43.2400,76.1600,0.000196
hold7,VGND,li1,42.3200,21.7600,0.000071
hold6,VGND,li1,63.4800,21.7600,0.000098
hold5,VGND,li1,11.0400,65.2800,0.000149
hold4,VGND,li1,42.7800,38.0800,0.000249
hold3,VGND,li1,53.8200,76.1600,0.000218
hold2,VGND,li1,59.3400,76.1600,0.000227
hold1,VGND,li1,12.8800,43.5200,0.000167
clkload2,VGND,li1,44.8500,65.2800,0.000217
clkload1,VGND,li1,27.1400,65.2800,0.000128
clkload0,VGND,li1,37.2600,32.6400,0.000331
clkbuf_2_3__f_i_Clk,VGND,li1,49.2200,59.8400,0.000390
clkbuf_2_2__f_i_Clk,VGND,li1,26.6800,59.8400,0.000189
clkbuf_2_1__f_i_Clk,VGND,li1,52.4400,32.6400,0.000419
clkbuf_2_0__f_i_Clk,VGND,li1,33.1200,32.6400,0.000267
clkbuf_0_i_Clk,VGND,li1,39.5600,43.5200,0.000269
fanout43,VGND,li1,72.2200,21.7600,0.000101
fanout42,VGND,li1,71.7600,16.3200,0.000162
fanout41,VGND,li1,71.3000,32.6400,0.000436
fanout40,VGND,li1,71.7600,10.8800,0.000056
fanout39,VGND,li1,34.5000,21.7600,0.000055
fanout38,VGND,li1,46.0000,54.4000,0.000190
fanout37,VGND,li1,71.7600,21.7600,0.000100
fanout36,VGND,li1,50.1400,10.8800,0.000041
max_cap35,VGND,li1,42.5500,48.9600,0.000175
max_cap34,VGND,li1,35.4200,43.5200,0.000240
output33,VGND,li1,72.2200,48.9600,0.000269
output32,VGND,li1,72.2200,27.2000,0.000289
output31,VGND,li1,7.8200,48.9600,0.000099
output30,VGND,li1,72.2200,54.4000,0.000253
output29,VGND,li1,72.2200,59.8400,0.000443
output28,VGND,li1,72.2200,65.2800,0.000286
output27,VGND,li1,72.2200,70.7200,0.000332
output26,VGND,li1,47.8400,76.1600,0.000206
output25,VGND,li1,62.1000,76.1600,0.000235
output24,VGND,li1,60.2600,76.1600,0.000231
output23,VGND,li1,37.2600,76.1600,0.000172
output22,VGND,li1,23.9200,76.1600,0.000106
output21,VGND,li1,26.6800,76.1600,0.000101
output20,VGND,li1,30.3600,76.1600,0.000135
output19,VGND,li1,40.0200,76.1600,0.000182
output18,VGND,li1,7.8200,65.2800,0.000154
output17,VGND,li1,7.8200,59.8400,0.000240
output16,VGND,li1,43.2400,76.1600,0.000196
input15,VGND,li1,66.9300,32.6400,0.000434
input14,VGND,li1,72.4500,43.5200,0.000349
