Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_57,VPWR,li1,31.9700,13.6000,1.799939
FILLER_0_53,VPWR,li1,30.5900,13.6000,1.799945
FILLER_0_41,VPWR,li1,27.1400,13.6000,1.799956
FILLER_0_29,VPWR,li1,21.6200,13.6000,1.799971
FILLER_0_27,VPWR,li1,18.1700,13.6000,1.799971
FILLER_0_15,VPWR,li1,15.1800,13.6000,1.799971
FILLER_0_3,VPWR,li1,9.6600,13.6000,1.799971
hold32,VPWR,li1,22.0800,40.8000,1.799855
hold31,VPWR,li1,39.5600,35.3600,1.799739
hold30,VPWR,li1,59.3400,29.9200,1.799478
hold29,VPWR,li1,23.4600,73.4400,1.799897
hold28,VPWR,li1,55.2000,19.0400,1.799873
hold27,VPWR,li1,46.0000,29.9200,1.799552
hold26,VPWR,li1,63.9400,46.2400,1.799670
hold25,VPWR,li1,61.6400,40.8000,1.799588
hold24,VPWR,li1,42.3200,40.8000,1.799653
hold23,VPWR,li1,42.7800,51.6800,1.799800
hold22,VPWR,li1,50.1400,73.4400,1.799754
hold21,VPWR,li1,53.8200,73.4400,1.799742
hold20,VPWR,li1,55.6600,62.5600,1.799575
hold19,VPWR,li1,34.5000,78.8800,1.799867
hold18,VPWR,li1,46.4600,68.0000,1.799733
hold17,VPWR,li1,69.9200,29.9200,1.799457
hold16,VPWR,li1,37.7200,68.0000,1.799775
hold15,VPWR,li1,36.8000,13.6000,1.799926
hold14,VPWR,li1,55.6600,24.4800,1.799833
hold13,VPWR,li1,61.6400,24.4800,1.799824
hold12,VPWR,li1,24.8400,35.3600,1.799840
hold11,VPWR,li1,50.6000,13.6000,1.799895
hold10,VPWR,li1,18.4000,62.5600,1.799837
hold9,VPWR,li1,46.4600,13.6000,1.799902
hold8,VPWR,li1,43.2400,73.4400,1.799782
hold7,VPWR,li1,42.3200,24.4800,1.799863
hold6,VPWR,li1,63.4800,24.4800,1.799821
hold5,VPWR,li1,11.0400,62.5600,1.799818
hold4,VPWR,li1,42.7800,35.3600,1.799730
hold3,VPWR,li1,53.8200,78.8800,1.799848
hold2,VPWR,li1,59.3400,73.4400,1.799725
hold1,VPWR,li1,12.8800,46.2400,1.799875
clkload2,VPWR,li1,44.8500,62.5600,1.799632
clkload1,VPWR,li1,27.1400,62.5600,1.799778
clkload0,VPWR,li1,37.2600,29.9200,1.799633
clkbuf_2_3__f_i_Clk,VPWR,li1,49.2200,62.5600,1.799595
clkbuf_2_2__f_i_Clk,VPWR,li1,26.6800,57.1200,1.799822
clkbuf_2_1__f_i_Clk,VPWR,li1,52.4400,29.9200,1.799500
clkbuf_2_0__f_i_Clk,VPWR,li1,33.1200,35.3600,1.799765
clkbuf_0_i_Clk,VPWR,li1,39.5600,40.8000,1.799668
